link,name_raw,slug
https://www.congress.gov/member/howard-berman/B000410,"Representative Berman, Howard L.",howard-berman/B000410
https://www.congress.gov/member/marion-berry/B000420,"Representative Berry, Marion",marion-berry/B000420
https://www.congress.gov/member/edwin-bethune/B000422,"Representative Bethune, Ed",edwin-bethune/B000422
https://www.congress.gov/member/tom-bevill/B000431,"Representative Bevill, Tom",tom-bevill/B000431
https://www.congress.gov/member/donald-beyer/B001292,"Representative Beyer, Donald S., Jr.",donald-beyer/B001292
https://www.congress.gov/member/mario-biaggi/B000432,"Representative Biaggi, Mario",mario-biaggi/B000432
https://www.congress.gov/member/alan-bible/B000436,"Senator Bible, Alan",alan-bible/B000436
https://www.congress.gov/member/joseph-biden/B000444,"Senator Biden, Joseph R., Jr.",joseph-biden/B000444
https://www.congress.gov/member/edward-biester/B000451,"Representative Biester, Edward G., Jr.",edward-biester/B000451
https://www.congress.gov/member/judy-biggert/B001232,"Representative Biggert, Judy",judy-biggert/B001232
https://www.congress.gov/member/andy-biggs/B001302,"Representative Biggs, Andy",andy-biggs/B001302
https://www.congress.gov/member/brian-bilbray/B000461,"Representative Bilbray, Brian P.",brian-bilbray/B000461
https://www.congress.gov/member/james-bilbray/B000462,"Representative Bilbray, James H.",james-bilbray/B000462
https://www.congress.gov/member/gus-bilirakis/B001257,"Representative Bilirakis, Gus M.",gus-bilirakis/B001257
https://www.congress.gov/member/michael-bilirakis/B000463,"Representative Bilirakis, Michael",michael-bilirakis/B000463
https://www.congress.gov/member/jesse-bingaman/B000468,"Senator Bingaman, Jeff",jesse-bingaman/B000468
https://www.congress.gov/member/jonathan-bingham/B000472,"Representative Bingham, Jonathan B.",jonathan-bingham/B000472
https://www.congress.gov/member/mike-bishop/B001293,"Representative Bishop, Mike",mike-bishop/B001293
https://www.congress.gov/member/rob-bishop/B001250,"Representative Bishop, Rob",rob-bishop/B001250
https://www.congress.gov/member/sanford-bishop/B000490,"Representative Bishop, Sanford D., Jr.",sanford-bishop/B000490
https://www.congress.gov/member/timothy-bishop/B001242,"Representative Bishop, Timothy H.",timothy-bishop/B001242
https://www.congress.gov/member/diane-black/B001273,"Representative Black, Diane",diane-black/B001273
https://www.congress.gov/member/ben-blackburn/B000506,"Representative Blackburn, Ben",ben-blackburn/B000506
https://www.congress.gov/member/marsha-blackburn/B001243,"Senator Blackburn, Marsha",marsha-blackburn/B001243
https://www.congress.gov/member/lucien-blackwell/B000517,"Representative Blackwell, Lucien E.",lucien-blackwell/B000517
https://www.congress.gov/member/rod-blagojevich/B000518,"Representative Blagojevich, Rod R.",rod-blagojevich/B000518
https://www.congress.gov/member/james-blanchard/B000538,"Representative Blanchard, James",james-blanchard/B000538
https://www.congress.gov/member/john-blatnik/B000550,"Representative Blatnik, John Anton",john-blatnik/B000550
https://www.congress.gov/member/ben-blaz/B000551,"Representative Blaz, Ben G.",ben-blaz/B000551
https://www.congress.gov/member/thomas-bliley/B000556,"Representative Bliley, Tom",thomas-bliley/B000556
https://www.congress.gov/member/michael-blouin/B000567,"Representative Blouin, Michael",michael-blouin/B000567
https://www.congress.gov/member/rod-blum/B001294,"Representative Blum, Rod",rod-blum/B001294
https://www.congress.gov/member/earl-blumenauer/B000574,"Representative Blumenauer, Earl",earl-blumenauer/B000574
https://www.congress.gov/member/richard-blumenthal/B001277,"Senator Blumenthal, Richard",richard-blumenthal/B001277
https://www.congress.gov/member/lisa-blunt-rochester/B001303,"Representative Blunt Rochester, Lisa",lisa-blunt-rochester/B001303
https://www.congress.gov/member/roy-blunt/B000575,"Senator Blunt, Roy",roy-blunt/B000575
https://www.congress.gov/member/peter-blute/B000576,"Representative Blute, Peter I.",peter-blute/B000576
https://www.congress.gov/member/john-boccieri/B001263,"Representative Boccieri, John A.",john-boccieri/B001263
https://www.congress.gov/member/sherwood-boehlert/B000586,"Representative Boehlert, Sherwood",sherwood-boehlert/B000586
https://www.congress.gov/member/john-boehner/B000589,"Representative Boehner, John A.",john-boehner/B000589
https://www.congress.gov/member/corinne-boggs/B000592,"Representative Boggs, Corinne C. (Lindy)",corinne-boggs/B000592
https://www.congress.gov/member/edward-boland/B000600,"Representative Boland, Edward P.",edward-boland/B000600
https://www.congress.gov/member/richard-bolling/B000605,"Representative Bolling, Richard",richard-bolling/B000605
https://www.congress.gov/member/suzanne-bonamici/B001278,"Representative Bonamici, Suzanne",suzanne-bonamici/B001278
https://www.congress.gov/member/christopher-bond/B000611,"Senator Bond, Christopher S.",christopher-bond/B000611
https://www.congress.gov/member/william-boner/B000615,"Representative Boner, William H.",william-boner/B000615
https://www.congress.gov/member/henry-bonilla/B000617,"Representative Bonilla, Henry",henry-bonilla/B000617
https://www.congress.gov/member/david-bonior/B000619,"Representative Bonior, David E.",david-bonior/B000619
https://www.congress.gov/member/don-bonker/B000620,"Representative Bonker, Don",don-bonker/B000620
https://www.congress.gov/member/jo-bonner/B001244,"Representative Bonner, Jo",jo-bonner/B001244
https://www.congress.gov/member/mary-bono-mack/B001228,"Representative Bono Mack, Mary",mary-bono-mack/B001228
https://www.congress.gov/member/sonny-bono/B000622,"Representative Bono, Sonny",sonny-bono/B000622
https://www.congress.gov/member/cory-booker/B001288,"Senator Booker, Cory A.",cory-booker/B001288
https://www.congress.gov/member/john-boozman/B001236,"Senator Boozman, John",john-boozman/B001236
https://www.congress.gov/member/madeleine-bordallo/B001245,"Representative Bordallo, Madeleine Z.",madeleine-bordallo/B001245
https://www.congress.gov/member/dan-boren/B001254,"Representative Boren, Dan",dan-boren/B001254
https://www.congress.gov/member/david-boren/B000639,"Senator Boren, David L.",david-boren/B000639
